"과목 및 유형",2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2024,2024,2024,2024,2024,2024,2024
"과목 및 유형",평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원),평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원),평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원),평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원),평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원),평  균 (만원),대도시 (만원),서  울 (만원),광역시 (만원),대도시이외 (만원),중소도시 (만원),읍면지역 (만원)
"대상분포(%)",100.0,39.6,15.9,23.7,60.4,44.9,15.5,100.0,39.4,15.7,23.6,60.6,44.2,16.4,100.0,39.0,15.5,23.5,61.0,44.5,16.5,100.0,38.7,15.3,23.4,61.3,44.8,16.5,100.0,38.3,15.1,23.3,61.7,45.3,16.4,100.0,38.4,14.9,23.4,61.6,45.9,15.8
"사교육비",32.1,36.7,45.1,31.0,29.1,32.1,20.3,30.2,35.7,45.3,29.3,26.6,29.3,19.2,36.7,42.6,52.9,35.8,32.9,35.9,24.7,41.0,47.5,59.6,39.5,36.9,40.1,28.2,43.4,50.6,62.8,42.7,38.9,42.5,28.9,47.4,54.4,67.3,46.1,43.1,46.5,33.2
"과목: 일반교과 사교육",23.5,27.3,33.5,23.1,21.1,23.3,14.7,23.9,28.6,36.5,23.4,20.8,23.1,14.6,28.1,33.1,41.3,27.6,24.9,27.4,18.1,31.0,36.4,45.6,30.4,27.5,30.2,20.3,32.6,38.5,48.2,32.2,28.9,31.8,21.1,35.8,41.9,52.2,35.3,32.0,34.5,24.5
"국어",2.3,2.7,3.5,2.2,2.0,2.2,1.5,2.5,3.1,4.1,2.4,2.1,2.3,1.7,3.0,3.6,4.8,2.8,2.7,2.9,2.0,3.4,4.1,5.3,3.4,3.0,3.2,2.2,3.8,4.4,5.6,3.7,3.4,3.8,2.4,4.2,4.9,6.3,4.0,3.7,4.0,2.8
"영어",9.4,10.6,13.0,9.0,8.6,9.5,5.8,9.3,11.0,13.7,9.2,8.2,9.2,5.7,11.2,12.9,15.7,11.0,10.1,11.2,7.0,12.3,14.2,17.4,12.1,11.1,12.2,8.2,12.8,14.7,17.9,12.6,11.6,12.8,8.2,14.1,16.1,19.2,14.1,12.9,14.0,9.8
"수학",9.0,10.5,12.6,9.1,8.0,8.8,5.7,9.3,11.2,14.1,9.3,8.1,9.1,5.6,10.5,12.5,15.5,10.5,9.3,10.2,6.9,11.6,13.6,16.9,11.4,10.3,11.2,7.7,12.2,14.6,18.4,12.1,10.7,11.7,8.1,13.4,15.8,19.9,13.2,12.0,12.9,9.2
"사회, 과학",1.3,1.6,2.1,1.3,1.1,1.1,0.9,1.4,1.8,2.5,1.4,1.1,1.2,0.9,1.6,2.1,2.7,1.6,1.4,1.5,1.1,1.8,2.3,3.1,1.8,1.5,1.6,1.1,1.9,2.5,3.4,2.0,1.6,1.7,1.3,2.0,2.7,3.5,2.2,1.6,1.7,1.4
"유형: 일반교과 사교육",23.5,27.3,33.5,23.1,21.1,23.3,14.7,23.9,28.6,36.5,23.4,20.8,23.1,14.6,28.1,33.1,41.3,27.6,24.9,27.4,18.1,31.0,36.4,45.6,30.4,27.5,30.2,20.3,32.6,38.5,48.2,32.2,28.9,31.8,21.1,35.8,41.9,52.2,35.3,32.0,34.5,24.5
"개인과외",3.0,3.7,4.6,3.1,2.6,2.9,1.8,3.3,4.1,5.3,3.3,2.8,3.0,2.0,3.8,4.6,5.9,3.6,3.3,3.6,2.4,3.9,4.7,6.0,3.8,3.4,3.7,2.5,3.7,4.5,5.8,3.7,3.2,3.4,2.4,3.7,4.3,5.4,3.6,3.2,3.6,2.3
"학원수강",16.3,19.5,24.7,16.0,14.3,16.1,9.1,16.4,20.4,26.9,16.0,13.9,15.7,8.9,19.5,23.7,30.5,19.2,16.8,18.8,11.2,22.1,26.9,34.4,21.9,19.1,21.3,13.1,24.1,29.3,37.9,23.7,20.8,23.3,14.0,27.5,33.0,42.0,27.2,24.0,26.3,17.4
"유료인터넷 및 통신강좌 등",0.7,0.7,0.7,0.7,0.8,0.8,0.7,0.8,0.8,0.9,0.8,0.8,0.8,0.8,1.3,1.3,1.5,1.2,1.3,1.3,1.1,1.5,1.5,1.6,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.8,1.6,1.5,1.6,1.4
